t,time_seconds,g_updates_total,particlesUpdated
0.000,0.000000,2998595,2998595
0.001,1.647949,3680758,3680758
0.001,3.295898,6492466,6492466
0.002,4.943848,7201974,7201974
0.002,6.591797,10109670,10109670
0.003,8.239746,10837991,10837991
0.003,9.887695,13650784,13650784
0.004,11.535640,14387725,14387725
0.005,13.183590,17386320,17386320
0.005,14.831540,18123263,18123263
0.006,16.479490,20936165,20936165
0.006,18.127440,21644640,21644640
0.007,19.775390,24552336,24552336
0.007,21.423340,25211998,25211998
0.008,23.071290,28024680,28024680
0.009,24.719240,28702635,28702635
0.009,26.367190,31701230,31701230
0.010,28.015140,32392361,32392361
0.010,29.663090,35205477,35205477
0.011,31.311040,35896613,35896613
0.011,32.958980,38804309,38804309
0.012,34.606930,39495515,39495515
0.013,36.254880,42320335,42320335
0.013,37.902830,43011805,43011805
0.014,39.550780,46010400,46010400
0.014,41.198730,46701928,46701928
0.015,42.846680,49562722,49562722
0.015,44.494630,50251064,50251064
0.016,46.142580,53158760,53158760
0.017,47.790530,53848104,53848104
0.017,49.438480,56723648,56723648
0.018,51.086430,57419658,57419658
0.018,52.734380,60418253,60418253
0.019,54.382320,61120011,61120011
0.019,56.030270,63996568,63996568
0.020,57.678220,64699192,64699192
0.021,59.326170,67606888,67606888
0.021,60.974120,68310094,68310094
0.022,62.622070,71186837,71186837
0.022,64.270020,71889990,71889990
0.023,65.917970,74888585,74888585
0.024,67.565920,75591873,75591873
0.024,69.213870,78468709,78468709
0.025,70.861820,79172019,79172019
0.025,72.509770,82079715,82079715
0.026,74.157710,82782222,82782222
0.026,75.805660,85659077,85659077
0.027,77.453610,86361159,86361159
0.028,79.101560,89359754,89359754
0.028,80.749510,90061741,90061741
0.029,82.397460,92938579,92938579
0.029,84.045410,93640981,93640981
0.030,85.693360,96548677,96548677
0.030,87.341310,97252243,97252243
0.031,88.989260,100128961,100128961
0.032,90.637210,100834261,100834261
0.032,92.285160,103832856,103832856
0.033,93.933110,104539059,104539059
0.033,95.581050,107415533,107415533
0.034,97.229000,108121910,108121910
0.034,98.876950,111029606,111029606
0.035,100.524900,111735648,111735648
0.036,102.172900,114611768,114611768
0.036,103.820800,115317330,115317330
0.037,105.468800,118315925,118315925
0.037,107.116700,119021290,119021290
0.038,108.764600,121896994,121896994
0.038,110.412600,122602432,122602432
0.039,112.060500,125510128,125510128
0.040,113.708500,126215012,126215012
0.040,115.356400,129090397,129090397
0.041,117.004400,129794443,129794443
0.041,118.652300,132793038,132793038
0.042,120.300300,133496329,133496329
0.042,121.948200,136371491,136371491
0.043,123.596200,137074297,137074297
0.044,125.244100,139981993,139981993
0.044,126.892100,140684797,140684797
0.045,128.540000,143559849,143559849
0.045,130.188000,144262904,144262904
0.046,131.835900,147261499,147261499
0.046,133.483900,147964506,147964506
0.047,135.131800,150839460,150839460
0.048,136.779800,151542049,151542049
0.048,138.427700,154449745,154449745
0.049,140.075700,155151597,155151597
0.049,141.723600,158026607,158026607
0.050,143.371600,158727799,158727799
0.050,145.019500,161726394,161726394
0.051,146.667500,162427244,162427244
0.052,148.315400,165302399,165302399
0.052,149.963400,166003147,166003147
0.053,151.611300,168910843,168910843
0.053,153.259300,169611372,169611372
0.054,154.907200,172486806,172486806
0.054,156.555200,173186937,173186937
0.055,158.203100,176185532,176185532
0.056,159.851100,176885356,176885356
0.056,161.499000,179761239,179761239
0.057,163.147000,180460828,180460828
0.057,164.794900,183368524,183368524
0.058,166.442900,184068101,184068101
0.058,168.090800,186944528,186944528
0.059,169.738800,187644281,187644281
0.060,171.386700,190642876,190642876
0.060,173.034700,191342630,191342630
0.061,174.682600,194219889,194219889
0.061,176.330600,194919340,194919340
0.062,177.978500,197827036,197827036
0.062,179.626500,198526006,198526006
0.063,181.274400,201404360,201404360
0.064,182.922400,202102970,202102970
0.064,184.570300,205101565,205101565
0.065,186.218300,205800044,205800044
0.065,187.866200,208679988,208679988
0.066,189.514200,209378562,209378562
0.066,191.162100,212286258,212286258
0.067,192.810100,212984987,212984987
0.068,194.458000,215867089,215867089
0.068,196.106000,216565909,216565909
0.069,197.753900,219564504,219564504
0.069,199.401900,220263365,220263365
0.070,201.049800,223148584,223148584
0.071,202.697800,223847534,223847534
0.071,204.345700,226755230,226755230
0.072,205.993700,227454526,227454526
0.072,207.641600,230343618,230343618
0.073,209.289600,231043313,231043313
0.073,210.937500,234041908,234041908
0.074,212.585400,234741805,234741805
0.075,214.233400,237635458,237635458
0.075,215.881300,238335244,238335244
0.076,217.529300,241242940,241242940
0.076,219.177200,241942425,241942425
0.077,220.825200,244840530,244840530
0.077,222.473100,245539712,245539712
0.078,224.121100,248538307,248538307
0.079,225.769000,249237363,249237363
0.079,227.417000,252139461,252139461
0.080,229.064900,252838528,252838528
0.080,230.712900,255746224,255746224
0.081,232.360800,256445575,256445575
0.081,234.008800,259350307,259350307
0.082,235.656700,260049973,260049973
0.083,237.304700,263048568,263048568
0.083,238.952600,263748745,263748745
0.084,240.600600,266655025,266655025
0.084,242.248500,267356031,267356031
0.085,243.896500,270263727,270263727
0.085,245.544400,270965861,270965861
0.086,247.192400,273872834,273872834
0.087,248.840300,274576182,274576182
0.087,250.488300,277574777,277574777
0.088,252.136200,278279153,278279153
0.088,253.784200,281186518,281186518
0.089,255.432100,281891278,281891278
0.089,257.080100,284798974,284798974
0.090,258.728000,285503631,285503631
0.091,260.376000,288411134,288411134
0.091,262.023900,289115210,289115210
0.092,263.671900,292113805,292113805
0.092,265.319800,292817382,292817382
0.093,266.967800,295724963,295724963
0.093,268.615700,296427961,296427961
0.094,270.263700,299335657,299335657
0.095,271.911600,300038263,300038263
0.095,273.559600,302945865,302945865
0.096,275.207500,303648112,303648112
0.096,276.855500,306646707,306646707
0.097,278.503400,307348685,307348685
0.097,280.151400,310256348,310256348
0.098,281.799300,310957989,310957989
0.099,283.447300,313865685,313865685
0.099,285.095200,314567177,314567177
0.100,286.743200,317474856,317474856
0.100,288.391100,318176337,318176337
0.101,290.039100,321174932,321174932
0.101,291.687000,321876290,321876290
0.102,293.335000,324783982,324783982
0.103,294.982900,325484857,325484857
0.103,296.630900,328392556,328392556
0.104,298.278800,329092961,329092961
0.104,299.926800,332000657,332000657
0.105,301.574700,332700670,332700670
0.105,303.222700,335699265,335699265
0.106,304.870600,336398641,336398641
0.107,306.518600,339306337,339306337
0.107,308.166500,340005314,340005314
0.108,309.814500,342913024,342913024
0.108,311.462400,343611804,343611804
0.109,313.110400,346519489,346519489
0.109,314.758300,347217921,347217921
