t,time_seconds,g_updates_total,particlesUpdated
0.000,0.000000,2998595,2998595
0.001,1.647949,3680758,3680758
0.001,3.295898,6492466,6492466
0.002,4.943848,7201974,7201974
0.002,6.591797,10109670,10109670
0.003,8.239746,10837995,10837995
0.003,9.887695,13650787,13650787
0.004,11.535640,14387728,14387728
0.005,13.183590,17386323,17386323
0.005,14.831540,18123266,18123266
0.006,16.479490,20936166,20936166
0.006,18.127440,21644643,21644643
0.007,19.775390,24552339,24552339
0.007,21.423340,25212001,25212001
0.008,23.071290,28024677,28024677
0.009,24.719240,28702634,28702634
0.009,26.367190,31701229,31701229
0.010,28.015140,32392360,32392360
0.010,29.663090,35205480,35205480
0.011,31.311040,35896616,35896616
0.011,32.958980,38804312,38804312
0.012,34.606930,39495518,39495518
0.013,36.254880,42320313,42320313
0.013,37.902830,43011783,43011783
0.014,39.550780,46010378,46010378
0.014,41.198730,46701905,46701905
0.015,42.846680,49562698,49562698
0.015,44.494630,50251037,50251037
0.016,46.142580,53158733,53158733
0.017,47.790530,53848076,53848076
0.017,49.438480,56723621,56723621
0.018,51.086430,57419625,57419625
0.018,52.734380,60418220,60418220
0.019,54.382320,61119977,61119977
0.019,56.030270,63996540,63996540
0.020,57.678220,64699164,64699164
0.021,59.326170,67606860,67606860
0.021,60.974120,68310065,68310065
0.022,62.622070,71186810,71186810
0.022,64.270020,71889963,71889963
0.023,65.917970,74888558,74888558
0.024,67.565920,75591846,75591846
0.024,69.213870,78468682,78468682
0.025,70.861820,79171992,79171992
0.025,72.509770,82079688,82079688
0.026,74.157710,82782194,82782194
0.026,75.805660,85659052,85659052
0.027,77.453610,86361136,86361136
0.028,79.101560,89359731,89359731
0.028,80.749510,90061722,90061722
0.029,82.397460,92938560,92938560
0.029,84.045410,93640963,93640963
0.030,85.693360,96548659,96548659
0.030,87.341310,97252226,97252226
0.031,88.989260,100128944,100128944
0.032,90.637210,100834241,100834241
0.032,92.285160,103832836,103832836
0.033,93.933110,104539043,104539043
0.033,95.581050,107415512,107415512
0.034,97.229000,108121883,108121883
0.034,98.876950,111029579,111029579
0.035,100.524900,111735620,111735620
0.036,102.172900,114611742,114611742
0.036,103.820800,115317304,115317304
0.037,105.468800,118315899,118315899
0.037,107.116700,119021264,119021264
0.038,108.764600,121896959,121896959
0.038,110.412600,122602403,122602403
0.039,112.060500,125510099,125510099
0.040,113.708500,126214983,126214983
0.040,115.356400,129090360,129090360
0.041,117.004400,129794404,129794404
0.041,118.652300,132792999,132792999
0.042,120.300300,133496290,133496290
0.042,121.948200,136371442,136371442
0.043,123.596200,137074248,137074248
0.044,125.244100,139981944,139981944
0.044,126.892100,140684747,140684747
0.045,128.540000,143559788,143559788
0.045,130.188000,144262838,144262838
0.046,131.835900,147261433,147261433
0.046,133.483900,147964440,147964440
0.047,135.131800,150839401,150839401
0.048,136.779800,151541990,151541990
0.048,138.427700,154449686,154449686
0.049,140.075700,155151540,155151540
0.049,141.723600,158026558,158026558
0.050,143.371600,158727748,158727748
0.050,145.019500,161726343,161726343
0.051,146.667500,162427194,162427194
0.052,148.315400,165302358,165302358
0.052,149.963400,166003105,166003105
0.053,151.611300,168910801,168910801
0.053,153.259300,169611328,169611328
0.054,154.907200,172486783,172486783
0.054,156.555200,173186922,173186922
0.055,158.203100,176185517,176185517
0.056,159.851100,176885343,176885343
0.056,161.499000,179761209,179761209
0.057,163.147000,180460797,180460797
0.057,164.794900,183368493,183368493
0.058,166.442900,184068072,184068072
0.058,168.090800,186944506,186944506
0.059,169.738800,187644251,187644251
0.060,171.386700,190642846,190642846
0.060,173.034700,191342599,191342599
0.061,174.682600,194219854,194219854
0.061,176.330600,194919309,194919309
0.062,177.978500,197827005,197827005
0.062,179.626500,198525976,198525976
0.063,181.274400,201404321,201404321
0.064,182.922400,202102932,202102932
0.064,184.570300,205101527,205101527
0.065,186.218300,205800000,205800000
0.065,187.866200,208679954,208679954
0.066,189.514200,209378538,209378538
0.066,191.162100,212286234,212286234
0.067,192.810100,212984955,212984955
0.068,194.458000,215867054,215867054
0.068,196.106000,216565879,216565879
0.069,197.753900,219564474,219564474
0.069,199.401900,220263332,220263332
0.070,201.049800,223148548,223148548
0.071,202.697800,223847502,223847502
0.071,204.345700,226755198,226755198
0.072,205.993700,227454492,227454492
0.072,207.641600,230343565,230343565
0.073,209.289600,231043252,231043252
0.073,210.937500,234041847,234041847
0.074,212.585400,234741743,234741743
0.075,214.233400,237635383,237635383
0.075,215.881300,238335169,238335169
0.076,217.529300,241242865,241242865
0.076,219.177200,241942351,241942351
0.077,220.825200,244840456,244840456
0.077,222.473100,245539638,245539638
0.078,224.121100,248538233,248538233
0.079,225.769000,249237286,249237286
0.079,227.417000,252139391,252139391
0.080,229.064900,252838462,252838462
0.080,230.712900,255746158,255746158
0.081,232.360800,256445504,256445504
0.081,234.008800,259350213,259350213
0.082,235.656700,260049887,260049887
0.083,237.304700,263048482,263048482
0.083,238.952600,263748663,263748663
0.084,240.600600,266654927,266654927
0.084,242.248500,267355934,267355934
0.085,243.896500,270263630,270263630
0.085,245.544400,270965759,270965759
0.086,247.192400,273872721,273872721
0.087,248.840300,274576081,274576081
0.087,250.488300,277574676,277574676
0.088,252.136200,278279058,278279058
0.088,253.784200,281186419,281186419
0.089,255.432100,281891176,281891176
0.089,257.080100,284798872,284798872
0.090,258.728000,285503526,285503526
0.091,260.376000,288411018,288411018
0.091,262.023900,289115090,289115090
0.092,263.671900,292113685,292113685
0.092,265.319800,292817254,292817254
0.093,266.967800,295724835,295724835
0.093,268.615700,296427834,296427834
0.094,270.263700,299335530,299335530
0.095,271.911600,300038131,300038131
0.095,273.559600,302945731,302945731
0.096,275.207500,303647986,303647986
0.096,276.855500,306646581,306646581
0.097,278.503400,307348571,307348571
0.097,280.151400,310256232,310256232
0.098,281.799300,310957873,310957873
0.099,283.447300,313865569,313865569
0.099,285.095200,314567057,314567057
0.100,286.743200,317474737,317474737
0.100,288.391100,318176212,318176212
0.101,290.039100,321174807,321174807
0.101,291.687000,321876164,321876164
0.102,293.335000,324783857,324783857
0.103,294.982900,325484736,325484736
0.103,296.630900,328392435,328392435
0.104,298.278800,329092840,329092840
0.104,299.926800,332000536,332000536
0.105,301.574700,332700547,332700547
0.105,303.222700,335699142,335699142
0.106,304.870600,336398520,336398520
0.107,306.518600,339306216,339306216
0.107,308.166500,340005198,340005198
0.108,309.814500,342912908,342912908
0.108,311.462400,343611682,343611682
0.109,313.110400,346519366,346519366
0.109,314.758300,347217794,347217794
